2025-10-22 10:52:54,504 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 10:52:54,513 | INFO | rag.generator | ✅ Réponse LLM reçue: 914 chars
2025-10-22 10:52:54,520 | INFO | rag.generator | 📎 Citations trouvées: 1 sources uniques
2025-10-22 10:52:54,526 | INFO | rag.generator | ✓ Réponse finale: 992 chars
2025-10-22 10:52:54,658 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 10:52:54,863 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers "HTTP/2 409 Conflict"
2025-10-22 10:52:54,869 | INFO | uvicorn.access | 127.0.0.1:21580 - "POST /api/ask/workspace HTTP/1.1" 200
2025-10-22 10:53:22,467 | INFO | utils.workspaces | Index chargé: 11 vecteurs, dim=384
2025-10-22 10:53:22,469 | INFO | utils.workspaces | Idmap chargé: 11 entrées
2025-10-22 10:53:22,747 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 10:53:22,765 | INFO | rag.retriever_workspace | ✓ Embedder chargé
2025-10-22 10:53:22,766 | INFO | rag.retriever_workspace | ✓ Retriever chargé: 11 vecteurs
2025-10-22 10:53:24,856 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/embeddings "HTTP/1.1 200 OK"
2025-10-22 10:53:24,858 | INFO | rag.retriever_workspace | ✓ Retrieve: 2/11 hits (min_score=0.3)
2025-10-22 10:53:24,865 | INFO | api.ask | ✓ Retrieve workspace: 2 hits en 2.12s
2025-10-22 10:53:24,882 | INFO | rag.generator | 📝 Génération réponse - Question: 'non je parle de integration systéme...'
2025-10-22 10:53:24,887 | INFO | rag.generator | 📚 Chunks reçus: 2
2025-10-22 10:53:24,900 | INFO | rag.generator | ✅ Chunks filtrés: 2
2025-10-22 10:53:24,904 | INFO | rag.generator | 🔄 Invocation du LLM...
2025-10-22 10:53:26,010 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 10:53:26,014 | INFO | rag.generator | ✅ Réponse LLM reçue: 1000 chars
2025-10-22 10:53:26,030 | INFO | rag.generator | 📎 Citations trouvées: 1 sources uniques
2025-10-22 10:53:26,031 | INFO | rag.generator | ✓ Réponse finale: 1109 chars
2025-10-22 10:53:26,163 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 10:53:26,260 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers "HTTP/2 409 Conflict"
2025-10-22 10:53:26,266 | INFO | uvicorn.access | 127.0.0.1:21592 - "POST /api/ask/workspace HTTP/1.1" 200
2025-10-22 10:53:43,476 | INFO | utils.workspaces | Index chargé: 11 vecteurs, dim=384
2025-10-22 10:53:43,479 | INFO | utils.workspaces | Idmap chargé: 11 entrées
2025-10-22 10:53:43,815 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 10:53:43,841 | INFO | rag.retriever_workspace | ✓ Embedder chargé
2025-10-22 10:53:43,843 | INFO | rag.retriever_workspace | ✓ Retriever chargé: 11 vecteurs
2025-10-22 10:53:45,919 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/embeddings "HTTP/1.1 200 OK"
2025-10-22 10:53:45,930 | INFO | rag.retriever_workspace | ✓ Retrieve: 5/11 hits (min_score=0.3)
2025-10-22 10:53:45,943 | INFO | api.ask | ✓ Retrieve workspace: 5 hits en 2.13s
